order,doi,title,repository,host,cff_present,cff_blob_sha,cff_version,manifest_path,manifest_blob_sha,manifest_version,manifest_dynamic,scope_ambiguous,manual_label,exclusion_reason,notes
1,10.21105/joss.10003,MyMesh,BU-SMBL/mymesh,github,True,e28a0a8a4caaeb0321ac6b4966c543e7d084e656,,pyproject.toml,2756624aee5c3979bc58ecc0c31288a27dfc6a3f,,True,False,INELIGIBLE,cff_version_missing,CFF has no top-level software version; pyproject uses setuptools-scm.
2,10.21105/joss.09310,Finitewave,finitewave/Finitewave,github,True,4c323c2870682681f5081837edb0f1542151612b,,pyproject.toml,8b0fd1ccdefecef4686a67756f87726fbe6dae80,0.9.3,False,False,INELIGIBLE,cff_version_missing,"Static manifest version exists, but CFF omits version."
3,10.21105/joss.09930,CGView.js,sciguy/cgview-js,github,True,03f4852bb243d728e54ec6517a754a5f190171ea,,package.json,5595993bb6701fffa966b43faeeba5edc1f8a44f,1.9.0,False,False,INELIGIBLE,cff_version_missing,"Static package.json version exists, but CFF omits version."
4,10.21105/joss.10136,Vibrant,lstsgroup/vibrant,github,False,,,,,,False,False,INELIGIBLE,cff_missing,No root CITATION.cff on default branch at retrieval.
5,10.21105/joss.10231,nyaml,FAIRmat-NFDI/nyaml,github,True,83044dc2457d34be58799e6181349e92f0f239c2,1.0.2,pyproject.toml,baf7526dc83516ae6b9ce6b491b9f85f2050ba78,,True,False,INELIGIBLE,manifest_dynamic,CFF version exists; package version is generated by setuptools-scm.
6,10.21105/joss.09628,FAIRLinked,cwru-sdle/FAIRLinked,github,False,,,,,,False,False,INELIGIBLE,cff_missing,No root CITATION.cff on default branch at retrieval.
7,10.21105/joss.09633,Cosmologix,gitlab.in2p3.fr/cosmologix,gitlab,False,,,,,,False,False,INELIGIBLE,non_github,Prespecified protocol limited acquisition to GitHub-hosted repositories.
8,10.21105/joss.10278,Fetpype,fetpype/fetpype,github,False,,,,,,False,False,INELIGIBLE,cff_missing,No root CITATION.cff on default branch at retrieval.
9,10.21105/joss.10425,Liblsl.dart,NexusDynamic/liblsl.dart,github,True,a5af6a388cdedbed05406386aa350231a402f3e6,0.13.2,pubspec.yaml,f18646549adee11f15a331fa0075499f20f853e8,,False,True,INELIGIBLE,scope_ambiguous,Root pubspec is an unpublished workspace metapackage with no version; CFF describes liblsl.dart package.
10,10.21105/joss.09598,TNC,qc-tum/TNC,github,True,eac8150839af656a379e9b743ab3f486900e2361,,Cargo.toml,b3624c1a34e8a25d3c5b8cd7a36e70a4466f7a40,,False,True,INELIGIBLE,cff_version_missing,CFF omits version; root Cargo.toml is a workspace manifest.
11,10.21105/joss.09606,site-analysis,bjmorgan/site-analysis,github,True,c6507a23762cfd958f293262e72df393a9519458,1.5.0,pyproject.toml,0519e04fb05eb3f58d770eff8693605827af204c,1.8.0,False,False,DRIFT,,Same package scope; exact and core versions differ.
12,10.21105/joss.10380,Chemiscope,lab-cosmo/chemiscope,github,True,62e7f47d21e341c0205704fa98949b4fe236c4ce,1.0.4,pyproject.toml,02bb4c16c963d5b110597a2992fc7d70226237b8,,True,False,INELIGIBLE,manifest_dynamic,"pyproject version is imported from code, not statically available under protocol."
13,10.21105/joss.10303,scpviz,gnaprs/scpviz,github,True,30eef7fa28ef4f4feac8ee359f765fdd231130f0,1.0.0,pyproject.toml,57e142a7d52c15d868db24bd31d2a845ecfe326f,1.1.1,False,False,DRIFT,,Same package scope; exact and core versions differ.
14,10.21105/joss.09736,ScrollStats,tamu-edu/scrollstats,github,True,28520538e32970a8eb6725fe8926d76765d049c6,,pyproject.toml,939b0ddb26012202300c48a345819d6983dae53d,,True,False,INELIGIBLE,cff_version_missing,CFF omits version; pyproject uses VCS-derived hatch version.
15,10.21105/joss.09944,Solshade,amanchokshi/solshade,github,True,49057ad4c6a2fecf5aee631af7049f17d69769b9,,pyproject.toml,367a39fd74d65ac6866a1d951e325888925a44e0,1.0.0,False,False,INELIGIBLE,cff_version_missing,"Static manifest version exists, but CFF omits version."
16,10.21105/joss.09924,TikhonovFenichelReductions.jl,jo-ap/TikhonovFenichelReductions.jl,github,False,,,Project.toml,,,False,False,INELIGIBLE,cff_missing,No root CITATION.cff on default branch at retrieval.
17,10.21105/joss.08332,pangeo-fish,pangeo-fish/pangeo-fish,github,True,5b8d03e640b0d072c34099939cead3d3e75ab88c,,pyproject.toml,d9014e0c2804cc606f6b9e4643d29cb0c761cfc6,,True,False,INELIGIBLE,cff_version_missing,CFF omits version; pyproject uses setuptools-scm.
18,10.21105/joss.10490,sEEG-Suite,brainstorm-tools/brainstorm3,github,True,fb858a7998eb9193c083782b92c089009c56e220,,,,,False,False,INELIGIBLE,cff_version_missing,CFF omits software version; no supported root package manifest was used.
19,10.21105/joss.10245,PAI,NutritionalLungImmunity/PAI,github,False,,,,,,False,False,INELIGIBLE,cff_missing,No root CITATION.cff on default branch at retrieval.
20,10.21105/joss.09695,stylo,ncezid-biome/stylo,github,True,04ba3ebd7be37853c92d98552416193ac579a12a,,,,,False,False,INELIGIBLE,cff_version_missing,CFF omits top-level software version.
