order,repository,host,acquisition_status,cff_version,manifest_path,manifest_version,predicted_gap,primary_denominator,manual_gap,adjudication,notes
1,GroupiSP/himap,github,DRIFT,v1.3.0,pyproject.toml,1.4.0,True,True,True,CROSS_FILE_DRIFT_CONFIRMED,CFF v1.3.0 versus pyproject.toml 1.4.0; both describe the HiMAP software package.
2,Becksteinlab/zarrtraj,github,VERSION_MISSING,,pyproject.toml,,True,True,True,VERSION_SPECIFICITY_GAP_CONFIRMED,No top-level software version. This is not labelled a CFF schema violation or a proven maintainer defect.
3,CEA-MetroCarac/cdsaxs,github,CFF_MISSING,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
4,KoslickiLab/YACHT,github,CFF_MISSING,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
5,abinit/abipy,github,CFF_MISSING,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
6,JosephBrunet/cardiotensor,github,VERSION_MISSING,,pyproject.toml,1.1.9,True,True,True,VERSION_SPECIFICITY_GAP_CONFIRMED,No top-level software version. This is not labelled a CFF schema violation or a proven maintainer defect.
7,SWeav02/baderkit,github,CFF_MISSING,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
8,tue-bmd/zea,github,VERSION_MISSING,,pyproject.toml,0.1.4,True,True,True,VERSION_SPECIFICITY_GAP_CONFIRMED,No top-level software version. This is not labelled a CFF schema violation or a proven maintainer defect.
9,BarinthusBio/HLAfreq,github,CFF_MISSING,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
10,NPLinker/nplinker,github,MATCH,2.0.3,pyproject.toml,2.0.3,False,True,False,VERSION_SPECIFICITY_PRESENT,Top-level CFF software version is present.
11,ncsa/NEAT,github,VERSION_MISSING,,pyproject.toml,,True,True,True,VERSION_SPECIFICITY_GAP_CONFIRMED,No top-level software version. This is not labelled a CFF schema violation or a proven maintainer defect.
12,OpenBfS/UncertRadio,github,VERSION_MISSING,,,,True,True,True,VERSION_SPECIFICITY_GAP_CONFIRMED,No top-level software version. This is not labelled a CFF schema violation or a proven maintainer defect.
13,GRTLCollaboration/GRTresna,github,CFF_MISSING,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
14,omvatten/qdiv,github,VERSION_MISSING,,pyproject.toml,4.0.6,True,True,True,VERSION_SPECIFICITY_GAP_CONFIRMED,No top-level software version. This is not labelled a CFF schema violation or a proven maintainer defect.
15,gitlab.fysik.su.se/poleval/poleval,gitlab,NON_GITHUB,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
16,stschiff/sequenceTools,github,CFF_MISSING,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
17,artefactory/woodtapper,github,VERSION_MISSING,,pyproject.toml,0.0.14,True,True,True,VERSION_SPECIFICITY_GAP_CONFIRMED,No top-level software version. This is not labelled a CFF schema violation or a proven maintainer defect.
18,dragoon-rs/komodo,github,VERSION_MISSING,,Cargo.toml,1.2.0,True,True,True,VERSION_SPECIFICITY_GAP_CONFIRMED,No top-level software version. This is not labelled a CFF schema violation or a proven maintainer defect.
19,rahulumrao/sparc,github,CFF_MISSING,,,,,False,,OUT_OF_SCOPE,Excluded from the preregistered root-CFF denominator.
20,cwru-sdle/geospatialsuite,github,MATCH,0.2.0,DESCRIPTION,0.2.0,False,True,False,VERSION_SPECIFICITY_PRESENT,Top-level CFF software version is present.
