rank,id,question,importance,affected,existing,gap,data,experiment,metrics,time,difficulty,ethics,failure,success_output,failure_output,feasible,status,importance_score,gap_score,testability_score,feasibility_score,reproducibility_score,reuse_score,novelty_score,growth_score,maintenance_score,total
1,C01,"Among recently peer-reviewed JOSS software repositories, how often does CITATION.cff disagree with an authoritative package-manifest version, and can a deterministic checker detect actionable drift with low false positives?","Incorrect citation metadata can propagate into scholarly records, misattribute software versions, and weaken reproducibility.","Research software authors, reviewers, archivists, indexers, and downstream researchers citing exact software versions.","CFF schema validators, GitHub citation rendering, manual JOSS review, package-manager metadata checks.",Existing validators largely validate each file in isolation; they do not consistently compare CFF version metadata against package manifests across ecosystems.,"Recent JOSS repositories with CITATION.cff and pyproject.toml, DESCRIPTION, Cargo.toml, Project.toml, or package.json.","Screen a bounded recent JOSS sample, manually label cross-file version state, compare a schema-presence baseline with a cross-file checker.","Eligible prevalence, actionable-drift rate, precision, recall, F1, parse coverage, runtime, peak memory, deterministic output hash.",2–4 days pilot,Medium,Low; public repository metadata only.,Too few eligible repositories or most version fields are intentionally omitted/dynamic.,"CLI, benchmark dataset, labeling protocol, cross-ecosystem parsers, GitHub Action-ready workflow.",Eligibility and negative-prevalence dataset showing whether the suspected gap is practically rare.,Yes,KNOWN/INFERRED,14,14,15,15,10,10,8,5,5,96
2,C08,"How often do codemeta.json, CITATION.cff, and package manifests disagree on title, authorship, license, or repository URL?","Conflicting metadata harms discovery, attribution, and automated indexing.","Authors, repositories, archives, citation systems.",Schema validators and metadata converters.,Cross-schema semantic reconciliation is less mature than per-schema validation.,Public research repos containing two or more metadata formats.,Normalize common fields and manually label disagreements.,"Conflict rate by field, precision, recall, parse coverage, ambiguity rate.",3–5 days,Medium,Low.,Eligible multi-metadata sample is too small.,Metadata crosswalk and drift checker.,Eligibility census.,Yes,INFERRED,13,13,14,14,10,10,8,5,4,91
3,C05,"Can notebook output staleness be detected by comparing cell-input hashes, execution counts, and stored outputs without rerunning the full notebook?",Stale outputs can silently contradict the current analysis code.,"Researchers, reviewers, students, data journalists.","nbval, nbmake, execution-count checks, Jupyter metadata.",Cheap preflight detection without execution is incomplete and may miss semantic changes.,Version histories of public notebooks with commits and outputs.,Inject controlled edits and evaluate heuristics against known stale/fresh labels.,"Precision, recall, mutation coverage, runtime, false alarms by notebook style.",3–5 days,Medium,Low.,Synthetic mutations fail to represent real stale-output behavior.,Notebook freshness benchmark and preflight tool.,Heuristic limitation matrix.,Yes,INFERRED,13,12,14,14,10,9,8,5,4,89
4,C02,Do reproduction commands in recent research-software READMEs execute successfully in a clean CPU-only environment without undocumented manual steps?,Broken onboarding commands waste researcher time and impede independent verification.,"New users, reviewers, maintainers, educators.","CI, package tests, documentation testing, container images.",Project CI often tests source code but not the exact README quick-start path in a clean environment.,Recent JOSS repositories and documented install/run commands.,Extract one declared quick-start command per repository and execute in isolated containers with bounded time.,"Success rate, failure category, undocumented-step count, time-to-first-result, network/download volume.",4–7 days,High,"Low; public code, but arbitrary build scripts require sandboxing.",Heterogeneous languages and long builds exceed resource limits.,"README smoketest protocol, failure taxonomy, reproducible runner.",Resource-cost map and exclusion taxonomy.,Partially,INFERRED,14,13,14,10,9,10,9,5,3,87
5,C03,"How often do a JOSS paper version, repository release tag, archival deposit version, and package manifest disagree at publication time?",Publication-time version ambiguity can make exact scientific software reconstruction impossible.,"Authors, JOSS editors, archives, reproducibility auditors.","JOSS acceptance checks, Zenodo/GitHub releases, DOI metadata.",Checks are distributed across services and longitudinal consistency is not routinely machine-audited.,"JOSS papers, GitHub releases, Zenodo metadata, package manifests.",Cross-link recent JOSS papers and compare normalized versions across four sources.,"Mismatch rate by source pair, unresolved-link rate, false-positive rate, manual minutes per repository.",4–6 days,High,Low.,"Rate limits, inaccessible archives, or ambiguous publication snapshots.",Version-provenance benchmark and auditor.,Service-linkage failure map.,Partially,KNOWN/INFERRED,15,13,14,10,8,10,9,5,3,87
6,C04,Are GitHub Actions permissions in recent research-software repositories broader than required by the workflow steps they execute?,Overprivileged automation increases supply-chain blast radius.,"Maintainers, contributors, package users, CI infrastructure.","GitHub permission defaults, Scorecard, actionlint, security guidance.",Inferring minimum permissions from arbitrary third-party actions remains incomplete and context-dependent.,Public workflow YAML from a bounded JOSS sample.,Static permission analysis against manually reviewed workflow capabilities.,"Overprivilege prevalence, precision/recall, permission-distance score, manual review time.",3–5 days,Medium-high,Low; defensive public metadata analysis.,Existing tools already cover most cases or action semantics cannot be inferred reliably.,Research-specific benchmark and permission linter rules.,Catalog of inference limits.,Yes,KNOWN/INFERRED,14,11,13,14,10,9,7,5,4,87
7,C15,Are downloadable offline educational content bundles actually self-contained when network access is disabled?,Hidden network dependencies undermine access in low-bandwidth settings.,"Students, teachers, humanitarian and rural education programs.","PWA audits, offline-first testing, content packaging standards.",Offline claims are rarely tested against all embedded media and scripts.,Open educational HTML/PWA bundles with explicit offline claims.,Run bundles in network-blocked browser and record failed resources and blocked tasks.,"Task completion, missing-resource count, external-request count, bundle size.",4–7 days,High,Low.,Few legally downloadable bundles or browser automation unavailable.,Offline lesson pack validator and task benchmark.,Eligibility and packaging report.,Partially,INFERRED,15,13,14,8,8,10,9,5,3,85
8,C12,Do downloadable public datasets carry machine-readable license information consistent with their portal landing pages?,License ambiguity deters lawful reuse and can cause improper redistribution.,"Researchers, civic technologists, data publishers.","DCAT, data-package metadata, portal license fields.",License statements often do not travel with downloaded artifacts.,Government and NGO data portals plus downloaded files.,"Compare portal license, file-adjacent metadata, and embedded metadata.","License absence, inconsistency, machine-readability, retrieval success.",3–5 days,Medium,Low.,Portal sampling becomes jurisdiction-specific.,License-mesh dataset and checker.,Portal-specific gap report.,Yes,KNOWN/INFERRED,13,12,14,12,8,9,7,5,4,84
9,C06,"What fraction of figures in small research repositories can be traced to a generating script, source dataset, and exact command using only repository evidence?",Untraceable figures obstruct claim verification and correction.,"Reviewers, coauthors, future maintainers.","Workflow systems, notebooks, Make/Snakemake, provenance standards.",Most tools require prior instrumentation; retrospective low-cost lineage extraction is weak.,JOSS or replication repositories containing figures and scripts.,Build a static lineage heuristic and compare with manual labels.,"Lineage coverage, precision/recall, unresolved nodes, manual minutes saved.",5–8 days,High,Low.,Repository structures too heterogeneous for credible labels.,"Figure-lineage schema, benchmark, CLI.",Failure taxonomy for retrospective provenance.,Partially,INFERRED,14,14,11,9,8,9,10,5,3,83
10,C10,"Can missing or ambiguous measurement units in public environmental CSV files be detected using schema, column names, value ranges, and portal metadata?",Unit ambiguity can produce order-of-magnitude scientific and policy errors.,"Environmental researchers, agencies, civic-data users.","CF conventions, data dictionaries, validation rules.",CSV portals often separate metadata from files and use inconsistent field names.,"Public air, soil, water, and weather datasets with data dictionaries.",Create gold labels and compare header-only versus metadata-linked detectors.,"Missing-unit prevalence, precision/recall, unit ambiguity, metadata retrieval success.",5–8 days,High,Low.,Cross-domain labels require specialist judgment and portal access is unstable.,"Unit-contract schema, benchmark, validator.",Public-data metadata availability census.,Partially,KNOWN/INFERRED,15,14,12,8,7,10,9,5,3,83
